Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,NIFVIX,IN003M,Daily_STIR,Option_Price
2023-09-18,17613.6,0.006343672434677154,0.10070267796606831,0.10835,0.0715,0.00028373015873015873,2.8179353901959985
2023-09-20,17449.35,0.006263288536645893,0.09942662314444016,0.111275,0.0715,0.00028373015873015873,2.756407878116079
2023-09-21,17303.5,0.006924668618557562,0.10992570645741899,0.108175,0.0716,0.0002841269841269841,3.020984888960811
2023-09-22,17260.8,0.007323501429443648,0.1162569810512036,0.1066,0.0716,0.0002841269841269841,3.1865355008412735
2023-09-25,17272.55,0.007114603047776387,0.11294082204815105,0.109,0.0715,0.00028373015873015873,3.098013515182174
2023-09-26,17276.75,0.00682330852760779,0.10831666489629907,0.11185,0.0716,0.0002841269841269841,2.9723061027780204
2023-09-27,17341.6,0.00656209830931674,0.104170081231257,0.11585,0.0717,0.00028452380952380954,2.8696386159317626
2023-09-28,17170.45,0.006359739160537188,0.10095772933212051,0.128225,0.0717,0.00028452380952380954,2.7539974696574063
2023-09-29,17292.6,0.0070872334387516766,0.11250634297438833,0.114525,0.0719,0.00028531746031746036,3.0897700053938024
2023-10-03,17254.4,0.0070343853194047325,0.11166740508809149,0.117875,0.0718,0.0002849206349206349,3.0600150450627552
2023-10-04,17123.1,0.0068391489498645305,0.1085681238040206,0.11655,0.0717,0.00028452380952380954,2.95270197314494
2023-10-05,17195.8,0.007154440354553288,0.11357321968795667,0.1094,0.0717,0.00028452380952380954,3.1014902582228387
2023-10-06,17293.6,0.006917844055132564,0.10981736987164419,0.103,0.0716,0.0002841269841269841,3.01629048588984
2023-10-09,17127.7,0.006779739038257853,0.10762502069487902,0.114,0.0716,0.0002841269841269841,2.9279096078771545
2023-10-10,17303.35,0.0073800582965911545,0.11715479348363494,0.1127,0.0716,0.0002841269841269841,3.218984399049077
2023-10-11,17407.35,0.0076002609121705875,0.12065040163684976,0.10985,0.0716,0.0002841269841269841,3.3346621880791645
2023-10-12,17419.7,0.007414317968960634,0.11769864892216411,0.106175,0.0717,0.00028452380952380954,3.2556409709850413
2023-10-13,17390.35,0.007098299015180534,0.11268200355445435,0.106175,0.0717,0.00028452380952380954,3.1120441817129176
2023-10-16,17393.0,0.006871961312788146,0.1090890039173663,0.1107,0.0718,0.0002849206349206349,3.0135995062300935
2023-10-17,17467.7,0.006608187508804698,0.10490172459108409,0.10695,0.0718,0.0002849206349206349,2.910751252378759
2023-10-18,17344.0,0.006424130218639422,0.10197990569048944,0.10965,0.0719,0.00028531746031746036,2.8099269536014617
2023-10-19,17310.5,0.006739111736120338,0.10698008226750692,0.108975,0.0719,0.00028531746031746036,2.9415254503801407
2023-10-20,17208.75,0.0065578568803395165,0.10410275063359334,0.108175,0.072,0.0002857142857142857,2.8458614100109116
2023-10-23,16888.7,0.006711515938762478,0.10654201256527034,0.10905,0.0721,0.0002861111111111111,2.8581643545367115
2023-10-25,16760.8,0.009057947941953713,0.14379046585787308,0.113125,0.0721,0.0002861111111111111,3.82486989985955
2023-10-26,16555.45,0.00906420550717997,0.14388980162628173,0.1173,0.0721,0.0002861111111111111,3.7806118366515875
2023-10-27,16765.45,0.009640516130884565,0.15303844915576303,0.10905,0.0721,0.0002861111111111111,4.0713853783836385
2023-10-30,16826.1,0.009821291953515644,0.15590817637417279,0.1149,0.0721,0.0002861111111111111,4.162555951683316
2023-10-31,16801.1,0.009347287943271793,0.14838359598485754,0.11825,0.0721,0.0002861111111111111,3.95623376975891
2023-11-01,16732.95,0.008924961485711532,0.14167937131213357,0.120475,0.0722,0.0002865079365079365,3.7626048724177963
2023-11-02,16890.8,0.008659305023556364,0.1374622057138947,0.11075,0.0721,0.0002861111111111111,3.6853197520304093
2023-11-03,17000.95,0.008628034142165333,0.1369657958612639,0.108825,0.0722,0.0002865079365079365,3.6960057634642
2023-11-06,17159.4,0.008375457801363293,0.1329562707523385,0.11105,0.0721,0.0002861111111111111,3.621520337230322
2023-11-07,17187.8,0.00836709102068062,0.1328234522265751,0.111925,0.0721,0.0002861111111111111,3.6239002130296285
2023-11-08,17259.7,0.0079742405547877,0.12658714441544394,0.110375,0.0722,0.0002865079365079365,3.4686735571813188
2023-11-09,17218.9,0.0076638775304287655,0.12166028414382218,0.109825,0.0722,0.0002865079365079365,3.3261716060533217
2023-11-10,17256.6,0.0074181275934088785,0.11775912483543574,0.111075,0.0723,0.0002869047619047619,3.2268923264145997
2023-11-13,17318.6,0.007104143873205989,0.11277478779915734,0.111875,0.0723,0.0002869047619047619,3.1018301854819583
2023-11-15,17508.05,0.006847656781261158,0.10870318144045227,0.11135,0.0723,0.0002869047619047619,3.0229088858577597
2023-11-16,17593.1,0.007234906084991704,0.11485057355877591,0.116475,0.0723,0.0002869047619047619,3.208808197083272
2023-11-17,17600.5,0.0070189825575358265,0.11142289382363944,0.118275,0.0723,0.0002869047619047619,3.114651344043523
2023-11-20,17573.65,0.006738625245141934,0.10697235946264333,0.121475,0.0723,0.0002869047619047619,2.9860824036331906
2023-11-21,17627.6,0.0065383771598356115,0.10379351965721907,0.122325,0.0723,0.0002869047619047619,2.906540120158752
2023-11-22,17627.7,0.006315907635892844,0.10026192544935812,0.11865,0.0723,0.0002869047619047619,2.8080026672068925
2023-11-23,17639.4,0.0061034273873051825,0.0968889060717013,0.11315,0.0724,0.0002873015873015873,2.7156891920476482
2023-11-24,17643.5,0.005898977619992019,0.09364336663220739,0.1133,0.0724,0.0002873015873015873,2.62566809031523
2023-11-28,17741.8,0.00571970640407866,0.0907975243049739,0.12175,0.0724,0.0002873015873015873,2.5603658078907756
2023-11-29,17904.1,0.005704528397408428,0.09055658091869122,0.127075,0.0724,0.0002873015873015873,2.5769584727368056
2023-11-30,17987.95,0.006053619913913492,0.09609823694354003,0.1269,0.0725,0.0002876984126984127,2.7468490912069683
2023-12-01,18115.35,0.005944187837545212,0.09436105658639664,0.123825,0.0724,0.0002873015873015873,2.7164699569966615
2023-12-04,18448.5,0.006028158972541457,0.09569405702944402,0.129925,0.0723,0.0002869047619047619,2.805343864190945
2023-12-05,18588.55,0.007903754544887582,0.1254682136968142,0.134575,0.0724,0.0002873015873015873,3.7028338621330477
2023-12-06,18680.0,0.0077988456773532755,0.12380283705388707,0.1374,0.0724,0.0002873015873015873,3.671801672106085
2023-12-07,18703.85,0.007534621130042638,0.11960840239911166,0.126725,0.0724,0.0002873015873015873,3.5522923075532162
2023-12-08,18703.5,0.007206217711244875,0.114395159744058,0.1247,0.0724,0.0002873015873015873,3.3978644092476316
2023-12-11,18770.2,0.0069175564111411715,0.10981280366484011,0.127575,0.0725,0.0002876984126984127,3.273831577600504
